"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APBB1IP",0,1.83031871168559,0.458,0.024,0
"DOCK8",0,1.98193032956555,0.553,0.027,0
"FLI1",0,1.12983058541188,0.277,0.008,0
"FOXP2",0,1.69229756943335,0.54,0.055,0
"HS3ST4",0,2.43996872767065,0.716,0.082,0
"IKZF1",0,1.42580546037691,0.323,0.009,0
"INPP5D",0,1.37775248473984,0.335,0.016,0
"IPCEF1",0,2.67806167153821,0.647,0.065,0
"IRAK3",0,1.7440813883193,0.454,0.025,0
"PIK3R5",0,1.61476453094326,0.357,0.009,0
"PRKCH",0,1.87624287649046,0.488,0.03,0
"RASGEF1C",0,1.42743998517994,0.342,0.015,0
"SLCO2B1",0,1.33110789334325,0.316,0.014,0
"SRGAP2",0,2.43365733194535,0.796,0.133,0
"SRGAP2B",0,2.10810338052952,0.662,0.095,0
"TBXAS1",0,1.95511595191265,0.563,0.051,0
"TGFBR2",0,1.44172601885511,0.361,0.022,0
"TMEM156",0,1.63562326882722,0.394,0.022,0
"FGD2",1.58725070873128e-301,0.942453197891116,0.211,0.005,2.49293596313335e-297
"TNFRSF1B",5.72776005402082e-299,0.95506515261578,0.211,0.005,8.9960199408451e-295
"RHBDF2",1.89261223080239e-298,1.35031890068733,0.325,0.018,2.97253676969823e-294
"ST6GAL1",1.86755330843022e-294,2.2390599404031,0.72,0.125,2.93317922622051e-290
"RBM47",1.84996217906513e-293,1.33463280536325,0.288,0.014,2.9055505984397e-289
"SLC11A1",2.75091077993532e-288,1.23564901758071,0.286,0.014,4.32058047096642e-284
"PALD1",5.1125141110516e-287,1.38843359977783,0.4,0.032,8.02971466281764e-283
"PLA2G4A",4.49802420714333e-277,1.56642241306476,0.376,0.03,7.06459681973931e-273
"SERPINE1",2.35045141774729e-270,2.13036478131369,0.389,0.033,3.69161899671389e-266
"ARHGAP15",2.49923712626511e-270,1.4646760846563,0.378,0.031,3.92530183051198e-266
"IGSF21",2.07289331030464e-267,1.37509053216998,0.394,0.034,3.25568623316447e-263
"SYK",3.37714276544528e-258,0.973050437029355,0.215,0.007,5.30414042740836e-254
"TLR2",1.80270635987845e-254,1.07352376408701,0.28,0.016,2.8313306088251e-250
"RUNX1",3.50182490774005e-245,1.60395742336078,0.411,0.042,5.49996620009653e-241
"ATP8B4",8.80114874249298e-238,1.32168047203974,0.389,0.038,1.38230842149595e-233
"CD86",1.49638539305442e-224,1.10909478059421,0.215,0.01,2.35022289833127e-220
"ARHGAP25",3.30867617455728e-222,0.901163434582156,0.198,0.008,5.19660679975966e-218
"FYB1",1.22068022448467e-221,1.12278640961106,0.254,0.015,1.91720036057563e-217
"SRGAP2C",1.35728916384253e-216,1.62034281388228,0.54,0.087,2.13175836073107e-212
"PTPRC",8.03220134488259e-216,1.14877751482249,0.275,0.019,1.26153754322726e-211
"AOAH",1.96411630166482e-214,1.33943716662367,0.37,0.039,3.08484106339477e-210
"ADAM28",6.0306047962398e-213,0.989766489900825,0.252,0.016,9.47166789297423e-209
"CARD11",2.83067813572983e-212,0.761793088047079,0.161,0.005,4.44586307997727e-208
"FAM149A",2.01701195696203e-211,1.34227982133697,0.353,0.035,3.16791897960456e-207
"DOCK2",2.74730078890085e-211,1.02975960825629,0.284,0.021,4.31491061904768e-207
"WDFY4",1.42397787651628e-210,0.734903486874696,0.166,0.005,2.23649965285647e-206
"PIK3AP1",1.24022507512736e-208,0.782121560192229,0.181,0.007,1.94789750299503e-204
"OLR1",4.60200848926361e-203,1.45968463473603,0.37,0.041,7.22791453323742e-199
"SMAP2",1.01823858680224e-202,1.65996867085069,0.555,0.101,1.5992455244316e-198
"LPCAT2",5.72611752246579e-199,1.46081902566798,0.387,0.047,8.99344018078477e-195
"KLHL6",6.40955364002817e-196,0.810785479775656,0.146,0.004,1.00668449470282e-191
"ABCC4",4.78009415673546e-192,1.63638431694809,0.594,0.118,7.50761588256871e-188
"TAL1",1.04964734852877e-191,0.751049987524892,0.183,0.008,1.64857612559928e-187
"SP100",1.07777893145965e-191,1.00621314678141,0.222,0.013,1.69275958975052e-187
"P2RY12",3.80056806017219e-185,1.03708068960245,0.28,0.024,5.96917219530645e-181
"LYN",1.57546850183847e-180,1.2683608338265,0.422,0.061,2.47443082898751e-176
"SYNDIG1",4.54855829236769e-180,1.61382778636524,0.518,0.094,7.14396565399269e-176
"SH3TC1",5.08667300872382e-179,0.914608895901664,0.2,0.011,7.98912862750163e-175
"B4GALT1",4.52519548513108e-178,1.12693753482448,0.28,0.026,7.10727202894688e-174
"PDGFB",1.47996940579181e-176,0.701336180341464,0.151,0.005,2.32443994873662e-172
"IRAK2",2.25621308984818e-176,1.3860695241831,0.323,0.036,3.54360827891556e-172
"SRGN",2.3370495987729e-176,1.38325579603203,0.351,0.043,3.67057009983271e-172
"HCLS1",2.2686206771802e-169,0.856315419008809,0.206,0.013,3.56309563557922e-165
"SAMSN1",2.45920637656941e-168,0.80260746544596,0.191,0.011,3.86242953503991e-164
"CSF3R",3.00665556026058e-162,0.699822391314517,0.14,0.005,4.72225322294526e-158
"CSF1R",1.5650187187309e-159,1.00746879932665,0.215,0.016,2.45801839963875e-155
